route_name,rows,mae,baseline_mae,within120,month
1,72476,109.62399562314435,117.13909432087864,0.6829019261548651,2026-03-01
10,10035,73.96672948793933,76.899451918286,0.8532137518684604,2026-03-01
13,9031,102.72721250294703,110.61327649208283,0.718414350570258,2026-03-01
14,13669,83.60136001891668,89.23889823688639,0.8001316848342965,2026-03-01
16,23611,85.80788637129469,89.44028207191563,0.76167887848884,2026-03-01
17,42796,100.74715609524876,107.83025282736705,0.7265398635386485,2026-03-01
18,13183,102.5366215173912,109.0882955321247,0.7175908366836077,2026-03-01
2,55958,95.10043233048819,100.90596518817685,0.7306372636620322,2026-03-01
3,85038,92.60200147472428,99.6743455866789,0.7444554199299137,2026-03-01
4,37326,74.69327532752378,80.34040615120827,0.8055778813695548,2026-03-01
5,23585,73.32649098555764,78.35533177867289,0.8241679033283867,2026-03-01
6,13235,85.48282902531011,92.13494522100491,0.7671326029467321,2026-03-01
7,104116,94.15180820814858,103.3521168696454,0.7481366936878098,2026-03-01
70,324,166.20903537900315,222.5679012345679,0.45987654320987653,2026-03-01
71,127,30.793930842517433,30.051181102362204,0.9606299212598425,2026-03-01
72,346,60.01477696673813,57.80635838150289,0.8497109826589595,2026-03-01
73,685,143.77181703106046,188.52043795620438,0.5182481751824818,2026-03-01
74,295,221.7676684377941,224.44745762711864,0.3728813559322034,2026-03-01
75,176,23.8266886081375,26.87215909090909,0.9943181818181818,2026-03-01
76,50,120.24752174817375,114.0,0.66,2026-03-01
77,213,273.93613563309685,261.15492957746477,0.39906103286384975,2026-03-01
78,38,88.7262598088679,91.02631578947368,0.7368421052631579,2026-03-01
79,749,122.04527209521035,116.28838451268358,0.671562082777036,2026-03-01
80,91,295.28573654364124,306.8131868131868,0.2087912087912088,2026-03-01
81,1356,183.25203399849912,200.18547197640117,0.3945427728613569,2026-03-01
9,103246,116.32866415047071,132.1577833523817,0.6420878290684385,2026-03-01
1,65133,136.17666998686906,143.69184591528105,0.6202078823330723,2026-04-01
10,9300,91.23276795492367,91.82983870967742,0.7652688172043011,2026-04-01
13,8552,115.08392214673819,119.04572029934518,0.6931711880261927,2026-04-01
14,13580,91.63976847027932,93.54108983799705,0.7658321060382917,2026-04-01
16,23184,89.76264461008802,93.33488612836439,0.7624654934437544,2026-04-01
17,40523,104.86044994686982,108.72859857364953,0.7079683142906498,2026-04-01
18,12726,107.63447483992549,114.62879145057363,0.6889046047461889,2026-04-01
2,53859,115.52376213101921,122.2154885905791,0.6666295326686348,2026-04-01
3,81008,109.13010726603066,116.61170501678846,0.6915242938968991,2026-04-01
4,34510,85.67497688241453,88.97603593161402,0.7718342509417561,2026-04-01
