boost_weight,month,mae,rmse,within_60,within_120,p90_error
0.0,2026-03-01,106.22919959787824,158.4843876368686,0.43320446910936566,0.7005157293360904,236.0
0.0,2026-04-01,117.78470257402634,178.14795097734745,0.40615273603585095,0.6656907543238498,262.0
0.0,2026-05-01,108.09564034835368,162.1502941092464,0.4221617804744096,0.6945140396300268,236.0
0.25,2026-03-01,101.66424496872237,152.02613749723457,0.4449722519636129,0.7158077988737321,223.78879244374278
0.25,2026-04-01,114.21842857999154,173.43233053539305,0.4147788574575297,0.6776968929045534,253.37048187764566
0.25,2026-05-01,105.86267625614832,158.58864520565294,0.4242191245826468,0.7001211740809513,229.149822206582
0.5,2026-03-01,98.75039096264774,147.70381865603125,0.4532533448847986,0.7255110297422988,215.61416939014973
0.5,2026-04-01,111.75375588015118,170.0913532814387,0.42265750828173254,0.6862971204256266,247.79855456596897
0.5,2026-05-01,104.9408001511328,156.40241654313436,0.4229812310937922,0.7005030031993444,225.1135271118046
0.75,2026-03-01,97.72959414884879,145.70763814697676,0.45499096860671345,0.7265392191318419,212.66923031493474
0.75,2026-04-01,110.50598371972595,168.20694990382367,0.42602026284035377,0.6895286792211806,244.793083704878
0.75,2026-05-01,105.2652356802378,155.64957570394478,0.41703759883533403,0.6959071056829772,224.36093404418517
1.0,2026-03-01,98.74589272068633,146.1329524396114,0.4480715319041119,0.7203373899682062,215.53762123522094
1.0,2026-04-01,110.57639614437676,167.82819155149886,0.4248809312137162,0.6871274515050398,245.07821917466362
1.0,2026-05-01,106.75102545340633,156.35082966528273,0.4086077185274298,0.6864119395698756,227.54081141751132
