weekday,rows,mae,baseline_mae,within120
0,274907,96.59342398774452,100.58078004561543,0.7310435892865588
1,292129,98.57936570564041,102.54945246791657,0.7184463028319681
2,289311,98.65549986201331,103.13643967909965,0.7161981397181579
3,288410,105.75419996749366,109.66961270413647,0.7058909191775598
4,276608,103.74435194055712,108.00935258560851,0.7050952973160574
5,200637,115.57258626826199,126.85207364543928,0.6651564766219591
6,142595,125.51074828606944,145.95439180896946,0.6515796486552824
