candidate,mean_month_mae,worst_month_mae,within_120
schedule_slot_weekly,106.97345151504408,111.3003295430417,0.6953976282236397
schedule_slot,109.38470587661708,113.47527961572996,0.68618376441206
day_type,109.58422651912794,116.12063881979054,0.6897694615680044
quarter_hour,109.78152152772957,113.60028103513457,0.6862177427355084
recent_56d,110.05927180306104,115.83974869106332,0.6862403205996389
recent_slot_56d,110.42095765668779,115.29739780840548,0.678812295758387
half_hour,110.60769117588882,116.11579838663737,0.6848720113064476
original_grouped,110.70318084008609,117.78470257402634,0.6869068410966556
recent_28d,111.71580851068727,118.57919304248153,0.6763081857781037
