event_type,records,mean_deviation_seconds,median_deviation_seconds,std_deviation_seconds,p90_deviation_seconds,p95_deviation_seconds,early_percent,on_time_percent,late_percent
arrival,147464,9.297,-4.0,245.592,258.0,382.0,34.421,49.559,16.021
departure,3470635,111.637,84.0,168.593,304.0,405.0,8.624,66.129,25.247
