weekday,rows,mae,baseline_mae,within120
0,274907,97.48660775669184,100.58078004561543,0.7258454677399994
1,292129,99.6617399089236,102.54945246791657,0.7121922164523207
2,289311,99.8695440463303,103.13643967909965,0.7098209193566785
3,288410,106.76054561788068,109.66961270413647,0.6999583925661385
4,276608,104.73553389204429,108.00935258560851,0.6989530310041647
5,200637,115.5835833076631,126.85207364543928,0.6599729860394643
6,142595,125.75696847705507,145.95439180896946,0.6440057505522634
