hour,rows,mae,baseline_mae,within120
5,1739,130.95684018709207,134.68976423231743,0.6388729154686601
6,58212,86.1500670506729,89.45086064728922,0.7988730845873703
7,115005,88.82580886430193,92.59437415764532,0.7692100343463327
8,129940,107.80760511759954,110.92839772202555,0.6858550100046176
9,113320,90.7598959759341,95.3532297917402,0.7521531944934698
10,104980,98.8598886203339,103.62259954277005,0.726062107068013
11,95752,106.27119138166726,111.6782887041524,0.6855627036510987
12,93429,103.63589330157345,112.38858384441662,0.6989157542090786
13,95507,108.15610421168985,113.74171003172542,0.6905567131205043
14,105812,111.4536353216986,117.58207008656863,0.6687332249650323
15,136996,134.58192356942848,141.33942231889984,0.607645478700108
16,131181,108.32626210354833,113.39668092177983,0.6907402748873693
17,131916,102.27755886713848,110.06031110706813,0.7006276721550078
18,106606,103.11154376756028,111.91845205710747,0.7054011969307543
19,86768,99.3740698137405,109.28542204499355,0.7178337635994837
20,73809,104.85918686195717,113.96429974664336,0.7065263043802247
21,58714,103.5067522348988,112.54550022141227,0.7202541131587015
22,45757,109.49315539303447,118.39911926044103,0.6966802893546342
23,44233,97.84619335609457,103.7762304162051,0.7283476137725228
24,27174,86.3165874462877,93.39109074850961,0.7759255170383454
25,7543,102.00918955555045,99.68911573644438,0.7010473286490786
26,204,202.76125895472637,204.40441176470588,0.28921568627450983
