month,method,rows,mae,rmse,within_60,within_120,p90_error
2026-03-01,original_grouped,611755,106.22919959787824,158.4843876368686,0.43320446910936566,0.7005157293360904,236.0
2026-03-01,selected_boost,611755,98.74589272068633,146.1329524396114,0.4480715319041119,0.7203373899682062,215.53762123522094
2026-03-01,weekly_original_grouped,611755,105.28311088589386,157.31554210328818,0.43610105352633,0.7042803082933528,234.0
2026-04-01,original_grouped,579287,117.78470257402634,178.14795097734745,0.40615273603585095,0.6656907543238498,262.0
2026-04-01,selected_boost,579287,110.57639614437676,167.82819155149886,0.4248809312137162,0.6871274515050398,245.07821917466362
2026-04-01,weekly_original_grouped,579287,116.24934617900972,175.57527411938779,0.40827085710537264,0.6694902526726821,257.0
2026-05-01,original_grouped,573555,108.09564034835368,162.1502941092464,0.4221617804744096,0.6945140396300268,236.0
2026-05-01,selected_boost,573555,106.75102545340633,156.35082966528273,0.4086077185274298,0.6864119395698756,227.54081141751132
2026-05-01,weekly_original_grouped,573555,106.66287191289415,160.49385874184725,0.4276956874231765,0.700602383380844,233.0
2026-06-01,original_grouped,573632,101.45764967784224,149.10362396786027,0.4363145710141694,0.7121848153520027,220.0
2026-06-01,selected_boost,573632,96.63075120097113,141.72178940880468,0.44764064766261297,0.7305467616869352,207.52122274816918
2026-06-01,weekly_original_grouped,573632,100.37345196920674,147.92021757673555,0.440990042396519,0.7171496708691286,218.0
