month,mae_gain,lower95,upper95,days_improved,days
2026-03-01,7.483306877191896,5.640948095184699,9.796174558220311,30,31
2026-04-01,7.208306429649578,4.971854781129191,9.830756188905617,28,30
2026-05-01,1.3446148949473695,0.06854962106181699,2.7862971295932746,21,31
2026-06-01,4.8268984768711025,3.9839721101074423,5.6891688843033235,30,30
