route_name,rows,mae,baseline_mae,within120,month
1,72476,110.09835608747014,117.13909432087864,0.6791765549975164,2026-03-01
10,10035,74.26010292235614,76.899451918286,0.8506228201295466,2026-03-01
13,9031,104.18378980897042,110.61327649208283,0.7121027571697487,2026-03-01
14,13669,83.88446078221634,89.23889823688639,0.8028385397615041,2026-03-01
16,23611,86.49559230509796,89.44028207191563,0.7579094489856423,2026-03-01
17,42796,102.24640658374116,107.83025282736705,0.7238059631741284,2026-03-01
18,13183,102.363886481339,109.0882955321247,0.7163012971250854,2026-03-01
2,55958,96.153893828803,100.90596518817685,0.7256692519389543,2026-03-01
3,85038,93.64457896360837,99.6743455866789,0.7386344928149768,2026-03-01
4,37326,75.26101342817063,80.34040615120827,0.8012913250817125,2026-03-01
5,23585,73.40741837655997,78.35533177867289,0.8240831036675853,2026-03-01
6,13235,86.05424136806215,92.13494522100491,0.7633547412164715,2026-03-01
7,104116,94.61483384293443,103.3521168696454,0.742066541165623,2026-03-01
70,324,179.9689733514893,222.5679012345679,0.4382716049382716,2026-03-01
71,127,33.52203246048021,30.051181102362204,0.9606299212598425,2026-03-01
72,346,61.900567001954826,57.80635838150289,0.8236994219653179,2026-03-01
73,685,150.27371994864242,188.52043795620438,0.5197080291970803,2026-03-01
74,295,230.85485635402324,224.44745762711864,0.4,2026-03-01
75,176,24.58290991657702,26.87215909090909,0.9943181818181818,2026-03-01
76,50,127.85669566423167,114.0,0.66,2026-03-01
77,213,282.94614467785044,261.15492957746477,0.39436619718309857,2026-03-01
78,38,90.77951718418687,91.02631578947368,0.7368421052631579,2026-03-01
79,749,126.23998857497666,116.28838451268358,0.664886515353805,2026-03-01
80,91,293.069626746833,306.8131868131868,0.2967032967032967,2026-03-01
81,1356,183.35314878442222,200.18547197640117,0.4424778761061947,2026-03-01
9,103246,118.6977308813315,132.1577833523817,0.6256416713480425,2026-03-01
1,65133,135.82082513094562,143.69184591528105,0.6190717455053506,2026-04-01
10,9300,91.88699244218603,91.82983870967742,0.7653763440860215,2026-04-01
13,8552,116.703486109742,119.04572029934518,0.6860383536014967,2026-04-01
14,13580,92.2963433514306,93.54108983799705,0.7628129602356406,2026-04-01
16,23184,90.43444618988724,93.33488612836439,0.7564268461007592,2026-04-01
17,40523,106.05200210825956,108.72859857364953,0.7029834908570441,2026-04-01
18,12726,106.87745333670713,114.62879145057363,0.6902404526166902,2026-04-01
2,53859,115.2566485747851,122.2154885905791,0.6649956367552312,2026-04-01
3,81008,108.50817855820384,116.61170501678846,0.6915242938968991,2026-04-01
4,34510,86.19864955419078,88.97603593161402,0.770935960591133,2026-04-01
5,21256,85.51503510283796,89.62591738803161,0.8094655626646594,2026-04-01
6,12561,90.85303294827554,94.88551866889578,0.7449247671363745,2026-04-01
7,97809,107.12199173217864,115.6630933758652,0.6962856178879244,2026-04-01
70,555,217.6157321760591,233.52252252252254,0.45225225225225224,2026-04-01
71,210,71.82335254592417,65.91904761904762,0.8952380952380953,2026-04-01
72,666,70.95357347637174,67.37612612612612,0.8393393393393394,2026-04-01
73,1148,154.6895766063186,173.98998257839722,0.5557491289198606,2026-04-01
74,409,245.34622310173023,255.16992665036676,0.5232273838630807,2026-04-01
75,285,42.589968787715755,47.49298245614035,0.9789473684210527,2026-04-01
76,61,119.99042889401389,115.5,0.6229508196721312,2026-04-01
77,420,191.63239801620696,176.16071428571428,0.4928571428571429,2026-04-01
78,63,95.08919584053533,92.76190476190476,0.7142857142857143,2026-04-01
79,1187,200.44750309173978,196.93555181128897,0.5366470092670598,2026-04-01
80,413,261.52907775167364,248.50726392251815,0.39709443099273606,2026-04-01
81,2223,370.0694247110374,343.20130454340983,0.2878992352676563,2026-04-01
9,97646,114.74533011020192,128.00908383343915,0.6411322532413002,2026-04-01
1,64178,122.40678974557737,128.65139144255042,0.6336127644987379,2026-05-01
